epoch,step,train_acc,train_loss,val_acc,val_loss
0,27,,,0.5855855941772461,0.6805910468101501
0,27,0.6213483214378357,0.7625682950019836,,
1,55,,,0.5495495200157166,0.6976798176765442
1,55,0.6269662976264954,0.6625193357467651,,
2,83,,,0.6036036014556885,0.6719487905502319
2,83,0.6314606666564941,0.6502466201782227,,
3,111,,,0.684684693813324,0.6447690725326538
3,111,0.6337078809738159,0.6529873609542847,,
4,139,,,0.6396396160125732,0.6449562311172485
4,139,0.649438202381134,0.645294189453125,,
5,167,,,0.5495495200157166,0.6997932195663452
5,167,0.6258426904678345,0.6769013404846191,,
6,195,,,0.5405405163764954,0.7068886160850525
6,195,0.6123595237731934,0.6759490370750427,,
7,223,,,0.5405405163764954,0.7032798528671265
7,223,0.6056180000305176,0.6726725101470947,,
8,251,,,0.5405405163764954,0.6982107162475586
8,251,0.6056180000305176,0.6726851463317871,,
9,279,,,0.5405405163764954,0.7073765397071838
9,279,0.6044943928718567,0.6716236472129822,,
10,280,,,0.5405405163764954,0.7075974941253662
